order_id,customer_id,order_date,status,payment_method,shipping_address,shipping_city,shipping_state,shipping_zip,shipping_country,total_amount
1,34,2024-11-22,Completed,Credit Card,2515 Terrell Crossing Suite 077,East Michelleville,RI,69029,USA,5722.71
2,473,2024-11-04,Completed,Debit,31879 Danielle Rapid,New Jenniferfurt,AR,63908,USA,20128.190000000002
3,699,2024-09-23,Completed,Credit Card,7489 Love Village,Burnsberg,NJ,11776,USA,5132.780000000001
4,85,2024-01-05,Completed,PayPal,35479 Sarah Throughway,North Vanessaberg,MT,30975,USA,4459.84
5,640,2024-08-15,Processing,Credit Card,1921 Hale Junction,Stacytown,VI,36413,USA,653.8399999999999
6,745,2023-09-01,Processing,Credit Card,06456 Ramos Prairie Suite 534,Shafferborough,MN,28700,USA,5048.11
7,858,2023-05-05,Cancelled,PayPal,13023 Lowery Trail,South Peterview,GA,48198,USA,7785.0599999999995
8,543,2023-12-13,Returned,Debit,5395 Miller Dale Suite 706,West Breanna,IL,41196,USA,1729.6499999999999
9,976,2024-12-09,Completed,Credit Card,994 Bradley Stream Suite 003,Alvarezmouth,AR,40271,USA,1987.48
10,60,2023-12-20,Completed,PayPal,12171 Salazar Flat Suite 851,Timothyfurt,GU,10868,USA,7488.88
11,230,2024-10-23,Completed,Credit Card,4384 Perkins Turnpike,Brayfort,PR,23589,USA,5747.42
12,577,2024-05-11,Processing,Credit Card,57631 Karla Divide Suite 870,East Amber,HI,34571,USA,8229.460000000001
13,648,2024-04-01,Completed,PayPal,67686 Thomas Track,Lauraton,MP,07731,USA,1052.82
14,466,2024-09-23,Completed,Credit Card,755 Williams Views,East Jim,MA,74407,USA,4140.63
15,512,2024-05-25,Completed,PayPal,98908 Ryan Haven Apt. 690,West Pamelaburgh,IA,32430,USA,2404.4100000000003
16,720,2023-05-07,Completed,Credit Card,7924 Payne Gardens Apt. 906,East Jamesmouth,TN,99912,USA,9976.46
17,846,2024-10-19,Completed,Credit Card,7430 Lambert Lodge,Port Stephaniefurt,AR,70047,USA,5898.48
18,231,2024-10-27,Completed,Credit Card,16132 Williams Port,New Coreyland,GU,26565,USA,3839.08
19,917,2024-11-14,Completed,PayPal,1290 Young Curve,East Anita,FL,56937,USA,3459.44
20,918,2024-06-28,Processing,Credit Card,9453 Audrey Isle,Port Ericmouth,OK,99221,USA,11319.16
21,268,2024-08-22,Processing,PayPal,79427 Jennifer Branch,Woodmouth,WY,44151,USA,2141.59
22,322,2024-12-21,Completed,PayPal,19874 Mason Track,Lake Kellytown,WV,27035,USA,3033.19
23,81,2023-12-04,Completed,Debit,441 Ashley Ridge Apt. 877,West Ruth,PR,43807,USA,9326.51
24,536,2023-12-05,Processing,Credit Card,846 Grant Ports,Danielshaven,IL,53027,USA,237.54
25,148,2024-09-14,Completed,PayPal,7964 Williams Estate Apt. 709,Port Morgan,WI,13319,USA,7062.099999999999
26,719,2024-08-02,Completed,Credit Card,5717 Dawson Junctions Apt. 345,South Stephen,ID,88347,USA,4449.52
27,463,2024-06-11,Completed,Credit Card,29461 Angela Forks Apt. 370,West Crystalstad,NH,46302,USA,1813.82
28,582,2024-11-28,Processing,PayPal,682 Jackson Mountain,Bethport,LA,52692,USA,8998.1
