customer_id,first_name,last_name,email,phone,address,city,state,zip,country,registration_date
1,Ryan,Owens,ryan.owens@shopmail.com,991-439-9447,466 Chelsea Gardens,East Billbury,VT,67829,USA,2024-02-26
2,Benjamin,Diaz,benjamin.diaz@outlook.com,313-688-9667,3878 Carol Mountains,Vaughnberg,OR,00620,USA,2023-11-23
3,Maria,Clark,maria.clark@shopmail.com,722-179-8790,641 Karen Mountain,Mooreton,HI,07318,USA,2023-04-09
4,Kevin,Ramirez,kevin.ramirez@shopmail.com,413-192-5966,6524 Steven Crossing,Howardstad,TN,86115,USA,2024-07-27
5,Katie,Jordan,katie.jordan@gmail.com,160-835-7909,4321 Sierra Inlet,Blankenshipborough,AK,42007,USA,2023-08-28
6,Ronald,Barajas,ronald.barajas@example.com,525-444-5619,3646 Lopez Fall,Amandaside,FM,69436,USA,2024-10-16
7,Kristin,Kim,kristin.kim@gmail.com,915-843-7117,250 Katie Rest Suite 941,Robertview,MD,94563,USA,2023-04-04
8,Laurie,Reilly,laurie.reilly@outlook.com,192-491-1362,447 King Turnpike,South Chelseamouth,VI,53920,USA,2023-09-03
9,Amanda,Christensen,amanda.christensen@shopmail.com,240-781-4533,3838 Gonzales Mill,North Jameshaven,NJ,07858,USA,2023-10-09
10,Brenda,Turner,brenda.turner@shopmail.com,440-686-2950,15862 Yates Lane Suite 501,South Frankmouth,AR,32973,USA,2024-04-25
11,Joanne,Gill,joanne.gill@shopmail.com,059-745-3480,76573 Gray Fort,Joshuamouth,VI,64736,USA,2023-09-17
12,Donna,Simmons,donna.simmons@gmail.com,623-780-3783,46684 Murphy Road,Port Audreybury,AR,20956,USA,2023-02-25
13,Larry,Hines,larry.hines@gmail.com,934-935-8638,251 Jackson Route Suite 298,Yangtown,TX,93031,USA,2024-09-16
14,William,Lewis,william.lewis@example.com,678-005-8685,2776 Destiny Loop Suite 621,Robinland,VA,07361,USA,2024-02-22
15,Amber,Boyer,amber.boyer@outlook.com,511-921-3821,6500 Daniels Coves,North Brandi,MA,02767,USA,2024-10-28
16,Paul,Odonnell,paul.odonnell@shopmail.com,767-264-4404,6518 Arnold Hollow Apt. 059,West Christopherburgh,LA,51406,USA,2023-07-06
17,Christian,Rojas,christian.rojas@example.com,467-585-6398,57792 Jensen Fords,South Colin,AK,42082,USA,2024-09-03
18,Jeffrey,Cummings,jeffrey.cummings@retailmail.com,695-617-7134,631 Ashley Ways Suite 431,South Donald,NC,91439,USA,2023-05-02
19,Natalie,Cook,natalie.cook@retailmail.com,127-348-7881,86734 Johnson Canyon,Banksport,VT,76942,USA,2024-03-16
20,Brett,Decker,brett.decker@shopmail.com,903-194-8066,6529 Dana Fields Apt. 458,New Teresaberg,WA,59691,USA,2024-07-04
21,Anthony,Johnson,anthony.johnson@shopmail.com,886-291-6515,4759 Russell Viaduct Apt. 034,New Josephfort,OH,73923,USA,2023-02-08
22,Amanda,Richardson,amanda.richardson@outlook.com,166-990-4576,591 Michael Overpass,Randallmouth,AZ,51092,USA,2023-07-21
23,Tommy,Brown,tommy.brown@outlook.com,260-758-0885,2459 Laura Harbor,Hollybury,IL,99751,USA,2023-08-27
